Базовая,Фото,Название,Артикул,Активность,Магазин,Группа,Количество,Торговое предложение,XML ID,Габариты,Артикул,Количество,Внешний ID,Активность,Закупочная цена,Закупочная цена торгового предложения,Внешний ID,Ссылка в магазине,Производитель,Вес,XML ID
28000,https://example1.com/upload/raj51vr44mw8jf5c5myc2wfqqctvkmjx.jpg,Бомбер Билли (BILLIE) черный,CT/BILLIE/black,1,Интернет магазин,Куртки,3,Бомбер Билли (BILLIE) черный (42),747a76b6-7015-11ef-8e10-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd,—,CT/BILLIE/black,1,3118,1,0,0,3117,https://example1.com/catalog/kurtki/bomber_billi_billie_chernyy/,,—,747a76b6-7015-11ef-8e10-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 747a76b6-7015-11ef-8e10-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 747a76b6-7015-11ef-8e10-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd
28000,https://example2.com/upload/raj51vr44mw8jf5c5myc2wfqqctvkmjx.jpg,Бомбер Билли (BILLIE) черный,CT/BILLIE/black,1,Интернет магазин,Куртки,3,Бомбер Билли (BILLIE) черный (44),747a76b6-7015-11ef-8e10-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd,—,CT/BILLIE/black,2,3119,1,0,0,3117,https://example2.com/catalog/kurtki/bomber_billi_billie_chernyy/,,—,747a76b6-7015-11ef-8e10-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 747a76b6-7015-11ef-8e10-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 747a76b6-7015-11ef-8e10-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd
28000,https://example3.com/upload/raj51vr44mw8jf5c5myc2wfqqctvkmjx.jpg,Бомбер Билли (BILLIE) черный,CT/BILLIE/black,1,Интернет магазин,Куртки,3,Бомбер Билли (BILLIE) черный (46),747a76b6-7015-11ef-8e10-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd,—,CT/BILLIE/black,0,3120,1,0,0,3117,https://example3.com/catalog/kurtki/bomber_billi_billie_chernyy/,,—,747a76b6-7015-11ef-8e10-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 747a76b6-7015-11ef-8e10-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 747a76b6-7015-11ef-8e10-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd
17500,,Платье CARI,,1,Трехпрудный,,2,Платье CARI,,—,,2,,1,0,,,,,—,
