Базовая,Фото,Название,Артикул,Активность,Магазин,Группа,Количество,Торговое предложение,XML ID,Габариты,Артикул,Количество,Внешний ID,Активность,Закупочная цена,Закупочная цена торгового предложения,Внешний ID,Ссылка в магазине,Производитель,Вес,XML ID
23000,https://lubanikishina.com/upload/iblock/a8a/r59lhzcvu7swr7jiu75ri2ak2jut8a75.jpg,Бриджи MARA,BR/MARA/black,1,Интернет магазин,Брюки,6,Бриджи MARA (46),26a993fc-e397-11ef-8e2c-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd,—,BR/MARA/black,3,2348,1,0,0,2344,https://lubanikishina.com/catalog/bryuki/bridzhi_mara/,,—,26a993fc-e397-11ef-8e2c-005056b6c1cd#f72cc217-e140-11ee-8e0e-005056b6c1cd; 26a993fc-e397-11ef-8e2c-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 26a993fc-e397-11ef-8e2c-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 26a993fc-e397-11ef-8e2c-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd
10600,https://lubanikishina.com/upload/iblock/5e1/ha2honxzp9c3u1bkd5d9vnzhs6jx3hum.jpg,Брюки,TR/black,1,Интернет магазин,Брюки,1,Брюки (44),3cc4ac1c-0153-11ef-8e0e-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd,—,TR/black,1,1671,1,0,0,1662,https://lubanikishina.com/catalog/bryuki/bryuki/,,—,3cc4ac1c-0153-11ef-8e0e-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd
10600,https://lubanikishina.com/upload/iblock/7c0/nk6yaimnmtxa08y66wpgx8flgfha8q0k.jpg,Брюки,TR/grey,1,Интернет магазин,Брюки,3,Брюки  (42),3cc4ac1b-0153-11ef-8e0e-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd,—,TR/grey,2,1667,1,0,0,1661,https://lubanikishina.com/catalog/bryuki/bryuki_/,,—,3cc4ac1b-0153-11ef-8e0e-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 3cc4ac1b-0153-11ef-8e0e-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 3cc4ac1b-0153-11ef-8e0e-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd
10600,https://lubanikishina.com/upload/iblock/7c0/nk6yaimnmtxa08y66wpgx8flgfha8q0k.jpg,Брюки,TR/grey,1,Интернет магазин,Брюки,3,Брюки  (44),3cc4ac1b-0153-11ef-8e0e-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd,—,TR/grey,0,1668,1,0,0,1661,https://lubanikishina.com/catalog/bryuki/bryuki_/,,—,3cc4ac1b-0153-11ef-8e0e-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 3cc4ac1b-0153-11ef-8e0e-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 3cc4ac1b-0153-11ef-8e0e-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd
10600,https://lubanikishina.com/upload/iblock/7c0/nk6yaimnmtxa08y66wpgx8flgfha8q0k.jpg,Брюки,TR/grey,1,Интернет магазин,Брюки,3,Брюки  (46),3cc4ac1b-0153-11ef-8e0e-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd,—,TR/grey,1,1669,1,0,0,1661,https://lubanikishina.com/catalog/bryuki/bryuki_/,,—,3cc4ac1b-0153-11ef-8e0e-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 3cc4ac1b-0153-11ef-8e0e-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 3cc4ac1b-0153-11ef-8e0e-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd
16700,https://lubanikishina.com/upload/iblock/93b/jnu13r2thiat6p001scac7a646at7mdb.png,Брюки Aurum,TR/AURUM/brownstripe,1,Интернет магазин,Брюки,1,Брюки Aurum (42),9cfea499-2cca-11f0-8e58-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd,—,TR/AURUM/brownstripe,0,2449,1,0,0,2448,https://lubanikishina.com/catalog/bryuki/bryuki_aurum/,,—,9cfea499-2cca-11f0-8e58-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 9cfea499-2cca-11f0-8e58-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 9cfea499-2cca-11f0-8e58-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd; 9cfea499-2cca-11f0-8e58-005056b6c1cd#f72cc217-e140-11ee-8e0e-005056b6c1cd
16700,https://lubanikishina.com/upload/iblock/93b/jnu13r2thiat6p001scac7a646at7mdb.png,Брюки Aurum,TR/AURUM/brownstripe,1,Интернет магазин,Брюки,1,Брюки Aurum (44),9cfea499-2cca-11f0-8e58-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd,—,TR/AURUM/brownstripe,1,2450,1,0,0,2448,https://lubanikishina.com/catalog/bryuki/bryuki_aurum/,,—,9cfea499-2cca-11f0-8e58-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 9cfea499-2cca-11f0-8e58-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 9cfea499-2cca-11f0-8e58-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd; 9cfea499-2cca-11f0-8e58-005056b6c1cd#f72cc217-e140-11ee-8e0e-005056b6c1cd
16700,https://lubanikishina.com/upload/iblock/93b/jnu13r2thiat6p001scac7a646at7mdb.png,Брюки Aurum,TR/AURUM/brownstripe,1,Интернет магазин,Брюки,1,Брюки Aurum (46),9cfea499-2cca-11f0-8e58-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd,—,TR/AURUM/brownstripe,0,2451,1,0,0,2448,https://lubanikishina.com/catalog/bryuki/bryuki_aurum/,,—,9cfea499-2cca-11f0-8e58-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 9cfea499-2cca-11f0-8e58-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 9cfea499-2cca-11f0-8e58-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd; 9cfea499-2cca-11f0-8e58-005056b6c1cd#f72cc217-e140-11ee-8e0e-005056b6c1cd
16700,https://lubanikishina.com/upload/iblock/93b/jnu13r2thiat6p001scac7a646at7mdb.png,Брюки Aurum,TR/AURUM/brownstripe,1,Интернет магазин,Брюки,1,Брюки Aurum (40),9cfea499-2cca-11f0-8e58-005056b6c1cd#f72cc217-e140-11ee-8e0e-005056b6c1cd,—,TR/AURUM/brownstripe,0,2515,1,0,0,2448,https://lubanikishina.com/catalog/bryuki/bryuki_aurum/,,—,9cfea499-2cca-11f0-8e58-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 9cfea499-2cca-11f0-8e58-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 9cfea499-2cca-11f0-8e58-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd; 9cfea499-2cca-11f0-8e58-005056b6c1cd#f72cc217-e140-11ee-8e0e-005056b6c1cd
95000,https://lubanikishina.com/upload/iblock/39c/gpda70i21iwcfn9j4s35ulymghiv61it.png,Брюки BADGE,TR/BADGE/black,1,Интернет магазин,Брюки,5,Брюки BADGE (40),4e31bf0a-d702-11ef-8e23-005056b6c1cd#f72cc217-e140-11ee-8e0e-005056b6c1cd,—,TR/BADGE/black,2,2333,1,0,0,2332,https://lubanikishina.com/catalog/bryuki/bryuki_badge_1/,,—,4e31bf0a-d702-11ef-8e23-005056b6c1cd#f72cc217-e140-11ee-8e0e-005056b6c1cd; 4e31bf0a-d702-11ef-8e23-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 4e31bf0a-d702-11ef-8e23-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd
